id,email,label
129,"From: social@media-boost.online
Subject: Your Package Is Delayed - Action Required

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
881,"From: info@unclaimed-funds.co
Subject: Important Security Alert: Login from New Device

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
112,"From: money@easy-cash.top
Subject: Unclaimed Funds Await You

A large sum of money is waiting for you. Contact us to claim your inheritance: [email]",spam
1228,"From: social@media-boost.online
Subject: URGENT: Your Account Has Been Compromised!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
348,"From: security@alert-system.ru
Subject: Unclaimed Funds Await You

Dear customer, your account has been temporarily suspended due to unusual activity. Please click here to verify your details: [link]",spam
257,"From: admin@bank-verify.org
Subject: Important Security Alert: Login from New Device

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
140,"From: admin@bank-verify.org
Subject: Verify Your Bank Details Immediately

A large sum of money is waiting for you. Contact us to claim your inheritance: [email]",spam
362,"From: delivery@package-update.info
Subject: Verify Your Bank Details Immediately

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
1251,"From: social@media-boost.online
Subject: Congratulations! You've Won a Free iPhone!

You have been selected as the lucky winner of our annual lottery! To claim your prize, please provide your banking information: [link]",spam
358,"From: support@secure-login.com
Subject: URGENT: Your Account Has Been Compromised!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
651,"From: security@alert-system.ru
Subject: Unclaimed Funds Await You

Make thousands of dollars from home with our proven system. No experience required. Sign up today: [link]",spam
939,"From: invest@global-finance.biz
Subject: Important Security Alert: Login from New Device

Dear customer, your account has been temporarily suspended due to unusual activity. Please click here to verify your details: [link]",spam
705,"From: security@alert-system.ru
Subject: Unclaimed Funds Await You

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
1217,"From: social@media-boost.online
Subject: Verify Your Bank Details Immediately

A large sum of money is waiting for you. Contact us to claim your inheritance: [email]",spam
1177,"From: deals@best-offers.xyz
Subject: Unclaimed Funds Await You

Don't miss out on this incredible offer! All products are 90% off for the next 24 hours. Shop now: [link]",spam
1070,"From: invest@global-finance.biz
Subject: Exclusive Investment Opportunity - High Returns!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
1109,"From: social@media-boost.online
Subject: New Followers on Your Social Media!

Make thousands of dollars from home with our proven system. No experience required. Sign up today: [link]",spam
720,"From: info@unclaimed-funds.co
Subject: Get Rich Quick Scheme - No Experience Needed

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
879,"From: social@media-boost.online
Subject: Your Package Is Delayed - Action Required

Don't miss out on this incredible offer! All products are 90% off for the next 24 hours. Shop now: [link]",spam
294,"From: support@secure-login.com
Subject: Act Now: Limited Time Offer - 90% Off All Products!

A large sum of money is waiting for you. Contact us to claim your inheritance: [email]",spam
464,"From: info@unclaimed-funds.co
Subject: URGENT: Your Account Has Been Compromised!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
740,"From: info@unclaimed-funds.co
Subject: Your Package Is Delayed - Action Required

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
345,"From: money@easy-cash.top
Subject: New Followers on Your Social Media!

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
691,"From: invest@global-finance.biz
Subject: URGENT: Your Account Has Been Compromised!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
1373,"From: noreply@winner-prize.net
Subject: Exclusive Investment Opportunity - High Returns!

You have been selected as the lucky winner of our annual lottery! To claim your prize, please provide your banking information: [link]",spam
1376,"From: delivery@package-update.info
Subject: URGENT: Your Account Has Been Compromised!

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
630,"From: invest@global-finance.biz
Subject: Congratulations! You've Won a Free iPhone!

Make thousands of dollars from home with our proven system. No experience required. Sign up today: [link]",spam
324,"From: support@secure-login.com
Subject: Get Rich Quick Scheme - No Experience Needed

Don't miss out on this incredible offer! All products are 90% off for the next 24 hours. Shop now: [link]",spam
804,"From: money@easy-cash.top
Subject: URGENT: Your Account Has Been Compromised!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
193,"From: invest@global-finance.biz
Subject: Exclusive Investment Opportunity - High Returns!

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
1300,"From: noreply@winner-prize.net
Subject: Congratulations! You've Won a Free iPhone!

Make thousands of dollars from home with our proven system. No experience required. Sign up today: [link]",spam
232,"From: money@easy-cash.top
Subject: New Followers on Your Social Media!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
523,"From: social@media-boost.online
Subject: Act Now: Limited Time Offer - 90% Off All Products!

A large sum of money is waiting for you. Contact us to claim your inheritance: [email]",spam
155,"From: support@secure-login.com
Subject: Get Rich Quick Scheme - No Experience Needed

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
1477,"From: security@alert-system.ru
Subject: Congratulations! You've Won a Free iPhone!

Boost your social media presence! Get thousands of new followers instantly. Visit: [link]",spam
1366,"From: money@easy-cash.top
Subject: Congratulations! You've Won a Free iPhone!

Boost your social media presence! Get thousands of new followers instantly. Visit: [link]",spam
540,"From: social@media-boost.online
Subject: Unclaimed Funds Await You

Boost your social media presence! Get thousands of new followers instantly. Visit: [link]",spam
615,"From: info@unclaimed-funds.co
Subject: Get Rich Quick Scheme - No Experience Needed

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
903,"From: social@media-boost.online
Subject: Your Package Is Delayed - Action Required

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
861,"From: security@alert-system.ru
Subject: Unclaimed Funds Await You

You have been selected as the lucky winner of our annual lottery! To claim your prize, please provide your banking information: [link]",spam
1087,"From: invest@global-finance.biz
Subject: Unclaimed Funds Await You

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
1119,"From: delivery@package-update.info
Subject: Verify Your Bank Details Immediately

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
696,"From: admin@bank-verify.org
Subject: Important Security Alert: Login from New Device

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
591,"From: delivery@package-update.info
Subject: Verify Your Bank Details Immediately

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
275,"From: delivery@package-update.info
Subject: URGENT: Your Account Has Been Compromised!

Make thousands of dollars from home with our proven system. No experience required. Sign up today: [link]",spam
738,"From: money@easy-cash.top
Subject: Your Package Is Delayed - Action Required

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
524,"From: invest@global-finance.biz
Subject: Get Rich Quick Scheme - No Experience Needed

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
1232,"From: security@alert-system.ru
Subject: Your Package Is Delayed - Action Required

Boost your social media presence! Get thousands of new followers instantly. Visit: [link]",spam
221,"From: security@alert-system.ru
Subject: Unclaimed Funds Await You

You have been selected as the lucky winner of our annual lottery! To claim your prize, please provide your banking information: [link]",spam
1342,"From: admin@bank-verify.org
Subject: Verify Your Bank Details Immediately

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
694,"From: noreply@winner-prize.net
Subject: Important Security Alert: Login from New Device

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
199,"From: support@secure-login.com
Subject: Unclaimed Funds Await You

You have been selected as the lucky winner of our annual lottery! To claim your prize, please provide your banking information: [link]",spam
929,"From: delivery@package-update.info
Subject: URGENT: Your Account Has Been Compromised!

Make thousands of dollars from home with our proven system. No experience required. Sign up today: [link]",spam
518,"From: social@media-boost.online
Subject: Exclusive Investment Opportunity - High Returns!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
114,"From: support@secure-login.com
Subject: Unclaimed Funds Await You

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
181,"From: deals@best-offers.xyz
Subject: Your Package Is Delayed - Action Required

A large sum of money is waiting for you. Contact us to claim your inheritance: [email]",spam
236,"From: security@alert-system.ru
Subject: Get Rich Quick Scheme - No Experience Needed

A large sum of money is waiting for you. Contact us to claim your inheritance: [email]",spam
1428,"From: security@alert-system.ru
Subject: Verify Your Bank Details Immediately

Boost your social media presence! Get thousands of new followers instantly. Visit: [link]",spam
1152,"From: security@alert-system.ru
Subject: Act Now: Limited Time Offer - 90% Off All Products!

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
486,"From: social@media-boost.online
Subject: Important Security Alert: Login from New Device

Boost your social media presence! Get thousands of new followers instantly. Visit: [link]",spam
1242,"From: invest@global-finance.biz
Subject: New Followers on Your Social Media!

We detected suspicious login attempts on your account. For your security, please update your password immediately: [link]",spam
473,"From: deals@best-offers.xyz
Subject: Get Rich Quick Scheme - No Experience Needed

Make thousands of dollars from home with our proven system. No experience required. Sign up today: [link]",spam
812,"From: noreply@winner-prize.net
Subject: Unclaimed Funds Await You

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
1234,"From: security@alert-system.ru
Subject: Exclusive Investment Opportunity - High Returns!

Boost your social media presence! Get thousands of new followers instantly. Visit: [link]",spam
45,"From: invest@global-finance.biz
Subject: Unclaimed Funds Await You

Invest in our revolutionary new platform and earn guaranteed high returns. Learn more: [link]",spam
484,"From: noreply@winner-prize.net
Subject: URGENT: Your Account Has Been Compromised!

Urgent security notification! A login from an unrecognized device was detected. Review activity: [link]",spam
134,"From: security@alert-system.ru
Subject: Get Rich Quick Scheme - No Experience Needed

Don't miss out on this incredible offer! All products are 90% off for the next 24 hours. Shop now: [link]",spam
